* APPID      CFG   NAT   AC-TYPE  ENGINE       NAME
* 2357570    yes   no    listed   unknown      Overwatch®
  1007090    yes   no    -        unknown      The Burton Equation
  1016790    yes   no    -        unknown      West of Dead
  1037020    yes   yes   -        unknown      ScourgeBringer
  1059110    yes   no    -        unity-il2cpp Superball
  1085220    yes   no    -        unknown      Figment 2: Creed Valley
  1108590    yes   no    -        unknown      Eldest Souls
  1118310    yes   yes   -        unknown      RetroArch
  1140890    yes   no    -        unknown      Morbid: The Seven Acolytes
  1141020    yes   no    -        unknown      Adventure Escape Mysteries
  1190150    yes   yes   -        unity        Paint Warfare
  1191550    yes   no    -        unknown      Fifo's Night
  1218210    yes   no    -        unknown      Coromon
  1231590    yes   no    -        unknown      Isle of Ewe
  1282150    yes   no    -        unreal       SpongeBob SquarePants: The Cosmic Shake
